"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order"
"query_1",TRUE,7.90084574058601e-11,1062,398,57,0.14321608040201,0.0536723163841808,"GO:0035295","GO:BP","tube development",22903,8374
"query_1",TRUE,5.32888365040751e-10,3291,398,113,0.28391959798995,0.0343360680644181,"GO:0042221","GO:BP","response to chemical",22903,9400
"query_1",TRUE,1.89682436797989e-09,530,398,37,0.092964824120603,0.069811320754717,"GO:0001525","GO:BP","angiogenesis",22903,318
"query_1",TRUE,2.15323035184513e-09,616,398,40,0.100502512562814,0.0649350649350649,"GO:0048514","GO:BP","blood vessel morphogenesis",22903,11950
"query_1",TRUE,2.46550334326007e-09,1188,398,58,0.14572864321608,0.0488215488215488,"GO:0040011","GO:BP","locomotion",22903,9265
"query_1",TRUE,2.49167557777584e-09,6510,398,179,0.449748743718593,0.0274961597542243,"GO:0032501","GO:BP","multicellular organismal process",22903,7116
"query_1",TRUE,2.57435436995011e-09,737,398,44,0.110552763819095,0.0597014925373134,"GO:0001944","GO:BP","vasculature development",22903,542
"query_1",TRUE,8.34129774519888e-09,857,398,47,0.118090452261307,0.0548424737456243,"GO:0035239","GO:BP","tube morphogenesis",22903,8343
"query_1",TRUE,9.81078792526050e-09,706,398,42,0.105527638190955,0.0594900849858357,"GO:0001568","GO:BP","blood vessel development",22903,341
"query_1",TRUE,1.28917805249919e-08,1099,398,54,0.135678391959799,0.0491355777979982,"GO:0072359","GO:BP","circulatory system development",22903,16197
"query_1",TRUE,1.01584301927184e-07,8098,398,204,0.512562814070352,0.0251914052852556,"GO:0050896","GO:BP","response to stimulus",22903,12476
"query_1",TRUE,1.20800441588539e-07,1131,398,53,0.133165829145729,0.0468611847922193,"GO:0048646","GO:BP","anatomical structure formation involved in morphogenesis",22903,12055
"query_1",TRUE,1.2298009274163e-07,2239,398,82,0.206030150753769,0.0366234926306387,"GO:0009605","GO:BP","response to external stimulus",22903,3376
"query_1",TRUE,1.35399207301765e-07,2789,398,95,0.238693467336683,0.0340623879526712,"GO:0051239","GO:BP","regulation of multicellular organismal process",22903,12691
"query_1",TRUE,4.62569205331871e-07,1467,398,61,0.153266331658291,0.0415814587593729,"GO:0007155","GO:BP","cell adhesion",22903,2585
"query_1",TRUE,8.11670275001164e-07,813,398,42,0.105527638190955,0.0516605166051661,"GO:0007186","GO:BP","G protein-coupled receptor signaling pathway",22903,2609
"query_1",TRUE,1.24182216161363e-06,484,398,31,0.0778894472361809,0.0640495867768595,"GO:0008015","GO:BP","blood circulation",22903,2956
"query_1",TRUE,2.08824017506033e-06,256,398,22,0.0552763819095477,0.0859375,"GO:0006898","GO:BP","receptor-mediated endocytosis",22903,2421
"query_1",TRUE,2.23977539087295e-06,1012,398,47,0.118090452261307,0.0464426877470356,"GO:0040012","GO:BP","regulation of locomotion",22903,9266
"query_1",TRUE,3.40209387212437e-06,1391,398,57,0.14321608040201,0.0409777138749101,"GO:0009719","GO:BP","response to endogenous stimulus",22903,3457
"query_1",TRUE,3.68035858081268e-06,566,398,33,0.0829145728643216,0.0583038869257951,"GO:0003013","GO:BP","circulatory system process",22903,1415
"query_1",TRUE,5.01956773403852e-06,2082,398,74,0.185929648241206,0.0355427473583093,"GO:0070887","GO:BP","cellular response to chemical stimulus",22903,15231
"query_1",TRUE,1.68250046415662e-05,1532,398,59,0.148241206030151,0.0385117493472585,"GO:0042127","GO:BP","regulation of cell population proliferation",22903,9340
"query_1",TRUE,1.71537038394645e-05,510,398,30,0.0753768844221105,0.0588235294117647,"GO:0044057","GO:BP","regulation of system process",22903,10196
"query_1",TRUE,2.18077605414039e-05,1543,398,59,0.148241206030151,0.0382372002592353,"GO:1901700","GO:BP","response to oxygen-containing compound",22903,20237
"query_1",TRUE,2.81688735553624e-05,552,398,31,0.0778894472361809,0.0561594202898551,"GO:0009611","GO:BP","response to wounding",22903,3382
"query_1",TRUE,3.45036255398401e-05,1484,398,57,0.14321608040201,0.0384097035040431,"GO:0016477","GO:BP","cell migration",22903,4977
"query_1",TRUE,4.16090287790239e-05,1571,398,59,0.148241206030151,0.037555697008275,"GO:0051240","GO:BP","positive regulation of multicellular organismal process",22903,12692
"query_1",TRUE,4.32430995731333e-05,2799,398,88,0.221105527638191,0.0314397999285459,"GO:0065008","GO:BP","regulation of biological quality",22903,14785
"query_1",TRUE,6.75564882454368e-05,6629,398,166,0.417085427135678,0.0250414843867853,"GO:0051716","GO:BP","cellular response to stimulus",22903,12983
"query_1",TRUE,7.52133145835806e-05,259,398,20,0.050251256281407,0.0772200772200772,"GO:0003018","GO:BP","vascular process in circulatory system",22903,1420
"query_1",TRUE,7.62232408297866e-05,1760,398,63,0.158291457286432,0.0357954545454545,"GO:0003008","GO:BP","system process",22903,1410
"query_1",TRUE,9.63347162386163e-05,3816,398,109,0.273869346733668,0.0285639412997904,"GO:0048731","GO:BP","system development",22903,12138
"query_1",TRUE,0.000121267003355644,5854,398,150,0.376884422110553,0.0256235052955244,"GO:0007154","GO:BP","cell communication",22903,2584
"query_1",TRUE,0.000124759544003172,1040,398,44,0.110552763819095,0.0423076923076923,"GO:0051241","GO:BP","negative regulation of multicellular organismal process",22903,12693
"query_1",TRUE,0.000129361790536651,2687,398,84,0.21105527638191,0.0312616300707108,"GO:0007166","GO:BP","cell surface receptor signaling pathway",22903,2596
"query_1",TRUE,0.000134647480152305,5356,398,140,0.351758793969849,0.0261389096340553,"GO:0007165","GO:BP","signal transduction",22903,2595
"query_1",TRUE,0.000138517016495208,129,398,14,0.0351758793969849,0.108527131782946,"GO:0031623","GO:BP","receptor internalization",22903,6777
"query_1",TRUE,0.000152459516247322,974,398,42,0.105527638190955,0.0431211498973306,"GO:2000145","GO:BP","regulation of cell motility",22903,23634
"query_1",TRUE,0.000153601948447148,151,398,15,0.0376884422110553,0.0993377483443709,"GO:0007204","GO:BP","positive regulation of cytosolic calcium ion concentration",22903,2624
"query_1",TRUE,0.000191514188334781,356,398,23,0.0577889447236181,0.0646067415730337,"GO:0050878","GO:BP","regulation of body fluid levels",22903,12460
"query_1",TRUE,0.000261798735357657,5819,398,148,0.371859296482412,0.0254339233545283,"GO:0023052","GO:BP","signaling",22903,6205
"query_1",TRUE,0.000265871866127962,921,398,40,0.100502512562814,0.0434310532030402,"GO:0030334","GO:BP","regulation of cell migration",22903,6339
"query_1",TRUE,0.000289555007376888,5573,398,143,0.35929648241206,0.02565942939171,"GO:0048856","GO:BP","anatomical structure development",22903,12247
"query_1",TRUE,0.000335168728808516,1709,398,60,0.150753768844221,0.0351082504388531,"GO:0048870","GO:BP","cell motility",22903,12260
"query_1",TRUE,0.000371021910352948,4447,398,120,0.301507537688442,0.026984483921745,"GO:0007275","GO:BP","multicellular organism development",22903,2666
"query_1",TRUE,0.00042612557507841,1721,398,60,0.150753768844221,0.0348634514816967,"GO:0006952","GO:BP","defense response",22903,2452
"query_1",TRUE,0.00053144076863668,837,398,37,0.092964824120603,0.044205495818399,"GO:0006954","GO:BP","inflammatory response",22903,2454
"query_1",TRUE,0.000536333396218589,239,398,18,0.0452261306532663,0.0753138075313808,"GO:0007188","GO:BP","adenylate cyclase-modulating G protein-coupled receptor signaling pathway",22903,2611
"query_1",TRUE,0.000539365488349135,1172,398,46,0.115577889447236,0.0392491467576792,"GO:0071495","GO:BP","cellular response to endogenous stimulus",22903,15590
"query_1",TRUE,0.000540821641035743,802,398,36,0.0904522613065327,0.0448877805486284,"GO:0048871","GO:BP","multicellular organismal-level homeostasis",22903,12261
"query_1",TRUE,0.000546107824115841,214,398,17,0.042713567839196,0.0794392523364486,"GO:0045926","GO:BP","negative regulation of growth",22903,10943
"query_1",TRUE,0.000547258885414289,838,398,37,0.092964824120603,0.0441527446300716,"GO:0033993","GO:BP","response to lipid",22903,7811
